" and ","e"
"Action","Azione"
"Actions","Azioni"
"Activate","Attiva"
"Add Contents Path","Aggiungi percorso contenuti"
"Add Field with URL:","Aggiungi campo con URL:"
"Add More Templates","Aggiungi altri Template"
"Add New Role","Aggiungi nuovo ruolo"
"Add New User","Aggiungi nuovo utente"
"Add PHP Extension dependency","Aggiungi PHP estensione dipendenza"
"Add Package dependency","Aggiungi pacchetto dipendenza"
"Add to Cart","Aggiungi al carrello"
"Add to Wishlist","Aggiungi alla Wishlist"
"Address Type:","Tipo indirizzo:"
"AirMail Template Preview","Anteprima Template AirMail"
"All","Tutto"
"All Websites","Tutti i siti web"
"All fields","Tutti i campi"
"Apply Theme","Applica tema"
"Archive file name:","Nome archivio file:"
"Are you sure that you want to delete this template?","Sei sicuro di voler cancellare questo template?"
"Are you sure that you want to strip tags?","Sei sicuro di voler inserire questi tags?"
"As low as:","A partire da:"
"Attribute Set Name:","Nome set di attributi:"
"Attributes","Attributi"
"Authors","Autori"
"Available Products","Prodotti disponibili"
"Back","Indietro"
"Big Image","Ingrandisci immagine"
"Billing Address","Indirizzo di fatturazione"
"Billing Agreement","Accordo di fatturazione"
"Bundle Items","Prodotti Bundle"
"Bundle with dynamic pricing cannot include custom defined options. Options will not be saved.","Un Bundle con prezzo variabile non può includere opzioni personalizzate definite. Le opzioni non saranno salvate."
"CSV / Tab separated","CSV / separati da tabulazioni"
"Cancel URL: ","Cancella URL: "
"Card Verification Number","Numero di verifica carta"
"Carrier","Corriere"
"Catalog","Catalogo"
"Chairs","Chairs"
"Change Orientation","Cambia orientamento"
"Channel","Canale"
"Child Transactions","Transazioni figlie"
"Choose Store View","Scegli vista negozio"
"Choose a selection...","Scegli una selezione..."
"Clear","Libero"
"Client Session Timeout (sec.)","Timeout sessione cliente (sec.)"
"Close","Chiudere"
"Comments History","Cronologia commenti"
"Confirmed email:","Email confermata:"
"Connect with the Magento Community","Connettiti con la Community di Magento "
"Contents","Contenuti"
"Continue","Continua"
"Country:","Paese:"
"Created At","Creata in"
"Credit Card %s","Carta di credito %s"
"Credit Card Number","Numero carta di credito"
"Credit Card Number: xxxx-%s","Numero carta di credito: xxxx-%s"
"Credit Card Type","Tipo carta di credito"
"Credit Card Type: %s","Tipo carta di credito: %s"
"Credit Memo History","Cronologia nota di credito"
"Credit Memo Totals","Note di credito totali"
"Current Configuration Scope:","Configurazione attuale ambito:"
"Custom","prersonalizzato"
"Custom Colors","Colori personalizzati"
"Customer","Cliente"
"Customer Group:","Gruppo cliente:"
"Customer Since:","Cliente dal:"
"Customers","Clienti"
"DHTML Date/Time Selector","DHTML Selettore Data/Ora"
"Dashboard","Dashboard"
"Data Format","Formato dati"
"Data transfer:","Trasferimento dati:"
"Date selection:","Selezione data:"
"Date selector","Selettore data"
"Decimal separator:","Separatore decimale:"
"Default (Admin) Values","Valori predefiniti (Admin)"
"Default Billing Address","Indirizzo di fatturazione predefinito"
"Default Response Charset","Set di caratteri di risposta predefiniti"
"Default Values","Valori predefiniti"
"Delete","Elimina"
"Direction:","Direzione:"
"Display %s first","Mostra %s primo"
"Distributed under GNU LGPL. See %s for details.","Distribuito sotto GNU LGPL. Vai a  %s per i dettagli."
"Do not enable AVS or CSC options.  The do not work when using Payflow Link Silent Mode.","Non abilitare le opzioni AVS o CSC. Non funzionano quando si usa il link del Payflow Silent Mode."
"Do not set any fields in the Billing and Shipping Information block as editable in your Payflow accout.","Non impostare nessun campo nelle informazioni di spedizione e fatturazione come editabile nel tuo account Payflow."
"Drag to move","Trascina per spostare"
"Edit Filter","Modifica filtro"
"Edit Role","Modifica ruolo"
"Edit User '%s'","Modifica utente '%s'"
"Email","Email"
"Email Preview","Anteprima Email"
"Email:","Email:"
"Enable Secure Token:","Abilita Secure Token:"
"Enclose Values In:","Racchiudi i valori tra:"
"Entity Attributes","Attributi di entità"
"Entity type:","Tipo entità:"
"Excl. Tax","Escl. Tasse"
"Expiration Date","Data di scadenza"
"Expiration Date: %s/%s","Data di scadenza: %s/%s"
"Export","Esportare"
"Export FAQ","Esporta FAQ"
"Export Filters","Esporta filtri"
"Export to:","Esporta verso:"
"Export:","Esporta:"
"Extension","Estensione"
"Extensions","Estensioni"
"FILTERS APPLIED","FILTRI APPLICATI"
"FTP Host[:Port]","FTP Host[:Port]"
"Field Mapping","Mappatura campi"
"File Information","Informazioni file"
"File name:","Nome file:"
"Files","File"
"Final Price","Prezzo finale"
"Finished profile execution.","Esecuzione profilo terminata."
"First Name:","Nome:"
"For latest version visit: %s","Per l\'ultima versione visita: %s"
"From","Da"
"General Information","Informazioni generali"
"General Settings","Impostazioni generali"
"Get help for this page","Ottieni aiuto per questa pagina"
"Global Record Search","Record di ricerca globale"
"Go Today","Vai a oggi"
"Go to messages inbox","Vai ai messaggi ricevuti"
"Go to notifications","Vai alle notifiche"
"Google Base Items","Articoli Google Base"
"Group:","Gruppo:"
"Help Us Keep Magento Healthy - Report All Bugs","Aiutaci a mantenere funzionale magento – Segnala i Bug"
"Home","Home"
"If your Magento instance is used for multiple websites, you must configure a separate Payflow Link account for each website.","Se il tuo Magento è utilizzato per più siti web, devi configurare un link del Payflow account separato per ogni sito."
"Ignore","Ignora"
"Images","Immaggini"
"Import","Importa"
"Import / Export FAQ (Frequently Asked Questions)","Importa / Esporta FAQ (Frequently Asked Questions)"
"Import FAQ","Importa FAQ"
"Import Service","Importa servizio"
"Important: ","Importante: "
"In Database:","Nel Database:"
"In File:","Nel File:"
"In Stock","Disponibile"
"Inactive Tabs","Schede inattive"
"Incl. Tax","Incl. Tasse"
"Include","Includi"
"Interactive","Interattivo"
"Interface Locale: %s","Interfaccia Locale: %s"
"Invalid webservice adapter specified.","Adattatore servizio web specificato non valido."
"Invalid webservice handler specified.","Gestore servizio web specificato non valido."
"Invoice History","Cronologia fatture"
"Invoice Totals","Fatture totali"
"Is Closed","Chiuso"
"Issue Number","Numero d\'ordine"
"Issuer: %s","Emittente: %s"
"JavaScript/CSS","JavaScript/CSS"
"JavaScript/CSS Cache","JavaScript/CSS Cache"
"Last 5 Orders","Ultimi 5 ordini"
"Last 5 Search Terms","Ultimi 5 termini di ricerca"
"Last Logged In (%s):","Ultimo accesso (%s):"
"Last Logged In:","Ultimo accesso:"
"Last Name:","Cognome:"
"Latest Message:","Ultimo messaggio:"
"Leave empty to use tax identifier","Lasciare vuoto per utilizzare l\'identificatore tassa"
"Links with associated products will retain only after saving current product.","I collegamenti con i prodotti associati saranno considerati solo dopo aver salvato il prodotto corrente."
"Loading...","Caricamento..."
"Local Server","Server locale"
"Local/Remote Server","Server Locale/Remoto"
"Log In","Log In"
"Log Out","Log Out"
"Logged in as %s","Collegato come %s"
"MS Excel XML","MS Excel XML"
"Magento Core Api","Magento Core Api"
"Magento Core Api Section","Magento Core Api Section"
"Magento Logo","Logo Magento"
"Magento ver. %s","Magento ver. %s"
"Magento&trade; is a trademark of Magento Inc.<br/>Copyright &copy; %s Magento Inc.","Magento&trade; è un marchio di Magento Inc.<br/>Copyright &copy; %s Magento Inc."
"Main Tabs","Schede principali"
"Make Inactive","Rendi inattivo"
"Make sure that data encoding in the file is consistent and saved in one of supported encodings (UTF-8 or ANSI).","Assicurati che la codifica dei dati nel file sia coerente e salvata in una delle codifiche supportate  (UTF-8 or ANSI)."
"Make sure that you configure the design settings for the Payflow Link form in your Payflow link account.","Assicurati di configurare le impostazioni di design per il modulo link del Payflow nel tuo link del Payflow account."
"Manage Stores","Gestione negozi"
"Max","Max"
"Min","Min"
"More Tabs","Altre schede"
"N/A","N/A"
"Name","Nome"
"Name on Card","Nome sulla carta "
"Name on the Card: %s","Nome sulla carta: %s"
"Name:","Nome:"
"Next month (hold for menu)","Prossimo Mese (tieni premuto per il menu)"
"Next page","Pagina successiva"
"Next year (hold for menu)","Prossimo anno (tieni premuto per il menu)"
"No","No"
"No Data Found","Nessun dato trovato"
"No information available.","Nessuna informazione disponibile."
"No profile loaded...","Nessun profilo caricato..."
"No search keywords.","Nessuna parola di ricerca."
"None","Nessuno"
"Note:","Nota:"
"Number of records:","Numero di record:"
"Old rate:","Vecchia tariffa:"
"On my website","Sul mio sito web"
"Once you log into your Payflow Link account, navigate to the Service Settings - Hosted Checkout Pages - Set Up menu and set the options described below","Una volta che accedi al tuo link del Payflow account, naviga nelle impostazioni di servizio - Hosted Checkout Pages - Set Up menu e imposta le opzioni descritte di seguito"
"Only mapped fields","Solo campi mappati"
"Options menu items","Opzioni menu prodotti"
"Order ID","ID ordine"
"Order Totals","Ordini totali"
"Order cannot be placed.","L\'ordine non può essere immesso."
"Original Magento attribute names in first row:","Nome attributi originali di Magento nella prima fila:"
"Out of stock","Non disponibile"
"Package","Pacchetto"
"Packages","Pacchetti"
"Page","Pagina"
"Parent Transaction ID","ID Transazione di origine"
"Passive mode","Passive mode"
"Password","Password"
"Path","Percorso"
"Path:","Percorso:"
"Personal Information","Informazioni personali"
"Phone:","Telefono:"
"Please Select","Selezionare"
"Please confirm site switching. All data that hasn\'t been saved will be lost.","Confermare il passaggio del sito. Tutti i dati non salvati verranno persi."
"Please continue with placing order.","Proseguire l\immissione dell\'ordine."
"Please enter 6 or more characters.","Inserire 6 o più caratteri."
"Please enter a number greater than 0 in this field.","Inserire un numero maggiore di 0 in questo campo."
"Please enter a valid $ amount. For example $100.00.","Inserire un importo valido di $. Per esempio $100.00."
"Please enter a valid URL. For example http://www.example.com or www.example.com","Inserire un URL valido. Per esempio http://www.example.com o www.example.com"
"Please enter a valid URL. http:// is required","Inserire un URL valido. http:// è richiesto"
"Please enter a valid credit card number.","Inserire un numero valido di carta di credito."
"Please enter a valid date.","Inserire una data valida."
"Please enter a valid email address. For example johndoe@domain.com.","Inserire un indirizzo email valido. Per esemio johndoe@domain.com."
"Please enter a valid number in this field.","Inserire un numero valido in questo campo."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Inserire un numero di telefono valido. Per esempio (123) 456-7890 or 123-456-7890."
"Please enter a valid social security number. For example 123-45-6789.","Inserire un numero di prevpdenza sociale valido di. Per esempio 123-45-6789."
"Please enter a valid value from list","Inserire un valore valido dall\'elenco"
"Please enter a valid value, ex: 10,20,30","Inserire un valore valido, es: 10,20,30"
"Please enter a valid zip code.","Inserire un codice zip valido."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Inserire un codice zip valido. Per esempio 90602 o 90602-1234."
"Please enter another credit card number to complete your purchase.","Inserire un altro numero di carta di credito per completare l\'acquisto."
"Please enter valid password.","Inserire password."
"Please make sure that your changes were saved before running the profile.","Assicurati che le modifiche siano salvate prima di eseguire il profilo."
"Please make sure your passwords match.","Assicurati che le passwords corrispondano."
"Please select State/Province.","Selezionare Stato/Provincia."
"Please select an option.","Selezionare un\'opzione."
"Please select one of the above options.","Selezionare una delle opzioni qui sopra."
"Please select one of the options.","Selezionare una delle opzioni."
"Please use in this field only ""a-z,0-9,_"".","Utilizzare in questo campo solo ""a-z,0-9,_""."
"Please use letters only (a-z) in this field.","Utilizzare solo lettere (a-z) in questo campo."
"Please use numbers only in this field. Please avoid spaces or other characters such as dots or commas.","Utilizzare solo numeri in questo campo. Evitare spazi o altri caratteri come punti o virgole."
"Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","Utilizzare solo lettere (a-z) o solo numeri (0-9) in questo campo. Spazi e altri caratteri non sono ammessi."
"Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field.","Utilizzare solo lettere (a-z) o solo numeri (0-9) o spazi e solo # in questo campo."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Utilizzare questo formato per la data: dd/mm/yyyy. Per esempio 17/03/2006 per il 17 Marzo, 2006."
"Please wait while the indexes are being refreshed.","Attendere mentre gli indici vengono aggiornati."
"Please wait, loading...","Attendere prego, caricamento..."
"Preset Theme","Tema preimpostato"
"Prev. month (hold for menu)","Prev. mese (tenere premuto per il menu)"
"Prev. year (hold for menu)","Prev. anno (tenere premuti per il menu)"
"Preview","Anteprima"
"Previous page","Pagina precedente"
"Price","Prezzo"
"Price:","Prezzo:"
"Product","Prodotto"
"Product Name3 ","Prodotto Name3 "
"Product Name3 1","Prodotto Name3 1"
"Product Name3 2","Prodotto Name3 2"
"Products","Prodotti"
"Profile Information","Informazioni profilo"
"Qty","Qtà"
"Qty:","Qtà:"
"Read details","Leggi i dettagli"
"Reference ID","ID di riferimento"
"Regular Price:","Prezzo normale:"
"Remote FTP","FTP Remoto"
"Remove","Rimuovi"
"Required settings","Impostazioni necessarie"
"Reset theme to default","Ripristima tema di default "
"Reset Successful","Reset riuscito"
"Resource Access","Accesso risorsa"
"Resources","Risorse"
"Return URL: ","Rendi URL: "
"Role Users","Ruolo utenti"
"Roles","Ruoli"
"Roles Resources","Risorse ruoli"
"SKU","SKU"
"SKU:","SKU:"
"SORT BY:","ORDINA PER:"
"Save Theme","Salva tema"
"Screens:","Schermate:"
"Select All","Seleziona tutto"
"Select Date","Seleziona data"
"Select Range","Seleziona intervallo"
"Select Template","Seleziona Template"
"Select Visible","Seleziona visibile"
"Select date","Seleziona data"
"Shipment Comments","Commenti spedizione"
"Shipment History","Cronologia spedizione"
"Shipping Address","Indirizzo di spedizione"
"Shipping address selection is not applicable","La selezione dell\'indirizzo di spedizione non è applicabile"
"Shipping method selection is not applicable","La selezione del metodo di spedizione non è applicabile"
"Show By","Mostra da"
"Show Report For","Mostra Report per"
"Show confirmation page: ","Mostra pagina di conferma:"
"Silent Post URL:","Silent Post URL:"
"Some items in this order have different invoice and shipment types. You can create shipment only after the invoice is created.","Alcuni prodotti in questo ordine hanno una fattura e tipi di spedizione diversi. Puoi creare spedizioni solo dopo che è stata creata la fattura."
"Some other FAQ","Altre FAQ"
"Sort Order","Criterio ordinamento"
"Special Price:","Prezzo speciale:"
"Spreadsheet Name:","Nome foglio di calcolo:"
"Start Date","Data di inizio"
"Start/Reset Validation...","Start/Reset Convalida..."
"Starting profile execution, please wait...","Avvio esecuzione profilo, attendere prego..."
"State/Province:","Stato/Provincia:"
"Status","Stato"
"Status:","Stato:"
"Stock Quantity:","Quantità disponibile:"
"Store:","Negozio:"
"Switch/Solo card issue number: %s","Switch/Solo emissione numero carta di credito: %s"
"Switch/Solo card start Date: %s/%s","Switch/Solo Data inizio carta: %s/%s"
"Switch/Solo/Maestro Only","Solo Switch/Solo/Maestro"
"Switch/Solo/Maestro(UK Domestic) Only","Solo Switch/Solo/Maestro(UK Domestic)"
"Switch/Solo/Maestro(UK Domestic) card issue number: %s","Switch/Solo/Maestro(UK Domestic) emissione numero carta: %s"
"Switch/Solo/Maestro(UK Domestic) card start Date: %s/%s","Switch/Solo/Maestro(UK Domestic) data inizio carta: %s/%s"
"Synchronization is required.","La sincronizzazione è necessaria."
"System busy","Sistema occupato"
"T-Shirts","T-Shirts"
"Target","Target"
"Tell a Friend","Dillo ad un amico"
"Template Name","Nome Template"
"The card has failed verification with the issuer bank.","La carta ha fallito la verifica con la banca emittente."
"The information in this tab has been changed.","Le informazioni in questa scheda sono state modificate."
"Theme configurations are successfully reset.","Configurazioni tema resettate con successo."
"There has been wrong payment information submitted or time limit has expired. Please, try again.","Sono state inserite delle informazioni di pagamento errate o il tempo massimo è scaduto. Riprovare."
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","Questo è un negozio di prova. Qualsiasi ordine emesse attraverso questo negozio non sarà rispettato o eseguito."
"This is a required field.","È un campo obbligatorio."
"This tab contains invalid data. Please solve the problem before saving.","Questa scheda contiene dati non validi. Risolvi il problema prima di salvare."
"Thumbnail","Thumbnail"
"Time selection:","Seleziona ora:"
"Time:","Ora:"
"Title bar","Barra del titolo"
"To","a"
"To cancel pending authorizations and release amounts that have already been processed during this payment, click Cancel.","Per revocare le autorizzazioni in attesa e liberare gli importi già elaborati durante questo pagamento, premere su cancella."
"To use Payflow Link, you must configure your Payflow Link account on the Paypal website.","Per usare il Payflow Link, devi configurare il tuo link del Payflow account sul sito di Paypal."
"Top 5 Search Terms","5 termini di ricerca più usati"
"Total %d records found","Trovati %d records totali"
"Track Order","Traccia Ordine"
"Track this shipment","Traccia questa spedizione"
"Transaction Data","Dati transazione"
"Transaction Details","Dettagli transazione"
"Transaction ID","ID Transazione"
"Transaction Type","Tipo transazione"
"Try Magento Go for Free","Prova Magento gratis"
"Type","Tipo"
"Type:","Tipo:"
"Unable to login.","Impossibile effettuare il log in."
"Unknown Error","Errore sconosciuto"
"Unknown Error.","Errore sconosciuto."
"Unselect All","Deseleziona tutto"
"Unselect Visible","Deseleziona visibile"
"Update Preview","Aggiorna anteprima"
"Updated At","Aggiornato al"
"Use Default Value","Usa valore predefiito"
"Use Silent Post:","Usa Silent Post:"
"User","Utente"
"User Name","Nome utente"
"User Roles","Ruoli utente"
"User name","Nome utente"
"Users","Utenti"
"Validation Results","Convalida risultati"
"Value Delimiter:","Delimitatore valore:"
"Verification Failed","Verifica non riuscita"
"Verification Successful","Verifica riuscita"
"Verification cannot be processed","La verifica non può essere elaborata"
"View","Vedi"
"View Details","Vedi dettagli"
"View Gallery","Vedi galleria"
"View Statistics For","Vedi statistiche per"
"Visibility:","Visibilità:"
"Warning! Empty value can cause problems with CSV format.","Attenzione! Un valore vuoto può causare problemi con il formato CSV."
"Warning!\r\nThis action will remove this user from already assigned role\r\nAre you sure?","Attenzione!\r\nQuesta azione rimuoverà questo utente da un ruolo già assegnato\r\nSei sicuro?"
"Warning!\r\nThis action will remove those users from already assigned roles\r\nAre you sure?","Attenzione!\r\nQuesta azione rimuoverà questo utenti da dei ruolo già assegnati\r\nSei sicuro?"
"Warning: Please do not close the window during importing/exporting data","Attenzione: non chiudere la finestra durante l\'importazione/esportazione dei dati"
"We detected that your JavaScript seem to be disabled.","Abbiamo rilevato che il tuo JavaScript sembra essere disabilitato."
"Web Services","Servizi web"
"What is this?","Che cosa è questo?"
"Yes","Si"
"You have %s unread message(s).","Hai %s messaggi/o non letti/o."
"You must have JavaScript enabled in your browser to utilize the functionality of this website.","Devi avere JavaScript abilitato sul tuo browser per utilizzare le funzionalità di questo sito."
"Your account has been deactivated.","Il tuo account è stato disattivato."
"Your server PHP settings allow you to upload files not more than %s at a time. Please modify post_max_size (currently is %s) and upload_max_filesize (currently is %s) values in php.ini if you want to upload larger files.","Le impostazioni del tuo server PHP non ti permettono di caricare più di %s file per volta. Modifica i valori di post_max_size (attualmente è %s) e upload_max_filesize (attualmente è %s) in php.ini se vuoi caricare file più grandi."
"Zip/Postal Code:","Zip/CAP:"
"critical","critico"
"images/logo.gif","images/logo.gif"
"items selected","prodotti selezionati"
"major","principale"
"minor","secondario"
"notice","avviso"
"of %s pages","di %s pagine"
"per page","per pagina"
"to","a"
"Are you sure you want to delete this theme? This change will affect all applications.","Sei sicuro di voler eliminare questo tema? Questa modifica avrà effetto su tutte le applicazioni"
"Cancel","Annulla"
"Delete theme","Cancella tema"
"Only custom theme can be deleted","Solo i temi personalizzati possono essere cancellati"
"Only default theme can be reset","Solo i temi di default possono essere resettati"
"Save","Salva"
"Save As","Salva come"
"Theme label can\'t be empty","L\'etichetta del tema non può essere vuota"
"Theme label:","Etichetta tema:"
"All locations","Tutte le località"
"BINARY","BINARIO"
"Changes have been saved to theme.","Le modifiche al tema sono state salvate."
"Deselect All","Deseleziona tutto"
"File mode","Modalità file"
"Loading Preview...","Caricamento anteprima..."
"WS-I Compliance","Conformità WS-I"
