# of Use,# di utilizzo
%1$s incl tax.,%1$s incl tasse.
%s - %s,%s - %s
%s Item(s),%s Prodotto/I
Store View,Vista negozio
Stretch,Stretch
Subscribe to RSS Feed,Iscriviti ai Feed RSS
Super product attributes configuration,Configurazione attributi super prodotti
Synonym For,Sinonimo di
System Properties,Proprietà del sistema
Tag Name,Nome Tag
Tax,Tassa
Template,Template
Text,Testo
The Flat Catalog module has a limit of %2\$d filterable and/or sortable attributes. Currently there are %1\$d of them. Please reduce the number of filterable/sortable attributes in order to use this module.,Il modulo catalogo Flat ha un limite di %2\$d attributi filtrabili e/o ordinabili. Attualmente ce ne sono %1\$d. Riduci il numero degli attributi filtrabili/ordinabili per poter usare questo modulo.
The attribute model is not defined,Il modello di attributo non è definito
The attribute set has been saved.,Il set di attributi è stato salvato.
The base directory to upload file is not specified.,La directory di base per caricare il file non è specificata.
The category has been deleted.,La categoria è stata cancellata.
The category has been saved.,La categoria è stata salvata.
The comparison list was cleared.,La lista di confronto è stata ripulita.
The email template is not specified by administrator.,Il template delle email non è specificato dall\'amministratore.
The file '%s' for '%s' has an invalid extension,Il file '%s' per '%s' ha un\'estensione non valida
The file '%s' you uploaded is larger than %s Megabytes allowed by server,Il file '%s' che hai caricato è più grande dei %s Megabytes permessi dal server
The file you uploaded is larger than %s Megabytes allowed by server,Il file che hai caricato è più grande dei %s Megabytes permessi dal server
The filters must be an array.,Il filtro deve essere un array.
The image contents is not valid base64 data.,I contenuti dell\'immagine non sono validi su dati base64.
The image is not specified.,L\'immagine non è specificata.
The product %s has been added to comparison list.,Il prodotto %s è stato aggiunto alla lista di confronto.
The product %s has been removed from comparison list.,Il prodotto %s è stato rimosso dalla lista di confronto.
The product attribute has been deleted.,L\'attributo del prodotto è stato cancellato.
The product attribute has been saved.,L\'attributo del prodotto è stato salvato.
The product has been created.,Il prodotto è stato creato.
The product has been deleted.,Il prodotto è stato cancellato.
The product has been duplicated.,Il prodotto è stato duplicato.
The product has been saved.,Il prodotto è stato salvato.
The product has required options,Il prodotto dispone di opzioni obbligatorie
The review has been deleted,La recensione è stata cancellata.
The review has been saved.,La recensione è stata salvata.
The review was removed by another user or does not exist.,La recensione è stata rimossa da un altro utente o non esiste.
The search was deleted.,La ricerca è stata eliminata.
The text is too long,Il testo è troppo lungo
There are no %s available.,Non ci sono %s disponobili.
There are no customers for this alert,Non ci sono clienti per questo avviso
There are no customers for this alert.,Non ci sono clienti per questo avviso.
There are no products matching the selection.,Non ci sono prodotti corrispondenti alla selezione.
There was an error while request processing.,Si è verificato un errore durante il processo richiesto.
This Attribute no longer exists,Questo attributo non esiste più
This attribute cannot be deleted.,Questo attributo non può essere cancellato.
This attribute cannot be edited.,Questo attributo non può essere modificato.
This attribute cannot be updated.,Questo attributo non può essere aggiornato.
This attribute is used in configurable products. You cannot remove it from the attribute set.,Questo attributo è utilizzato nei prodotti configurabili. Non lo puoi rimuovere dal set di attributi.
This attribute no longer exists,Questo attributo non esiste più
This attribute set no longer exists.,Questo set di attributi non esiste più.
"This group contains attributes, used in configurable products. Please move these attributes to another group and try again.",Questo gruppo contiene degli attributi utilizzati nei prodotti configurabili. Sposta questi attributi in un altro gruppo e prova di nuovo.
This group contains system attributes. Please move system attributes to another group and try again.,Questo gruppo contiene attributi di sistema. Sposta gli attributi di sistema in un altro gruppo e prova di nuovo.
This is a required option,È un opzione richiesta
This product no longer exists.,Questo prodotto non esiste più.
This search no longer exists.,Questa ricerca non esiste più.
Tier Pricing,Fascia prezzo
Tile,Tile
Time Format,Formato ora
Title,Titolo
"To reindex the enabled product(s), the store or product must be specified.","Per reindicizzare il/i prodotto/i abilitato/i, il negozio o il prodotto deve essere specificato."
Top/Left,In cima/Sinistra
Top/Right,In cima/Destra
Total Qty Base Items,Qtà totale articoli di base
Total incl. Tax: %1$s,Totale incl. Tasse: %1$s
Total of %d record(s) have been deleted.,%d risultati sono stati cancellati.
Total of %d record(s) have been updated.,%d risultati sono stati aggiornati.
Type,Tipo
URL Rewrite Management,Gestione URL Rewrite
Unable to complete this request.,Impossibile completare questa richiesta.
Unable to find a search term to delete.,Impossibile trovare il termine di ricerca da cancellare.
Unable to find an attribute to delete.,Impossibile trovare l\'attributo da cancellare.
Unable to get the product ID.,Impossibile ottenere l\'ID prodotto.
Unassigned Attributes,Attributi non assegnati
"Unknown EAV indexer type ""%s"".","Tipo indicizzatore EAV sconosciuto ""%s""."
Unknown attribute: %s.,Attributo sconosciuto: %s.
"Unsupported product type ""%s"".","Tipo prodotto non supportato ""%s""."
Up-sells,Prodotti alternativi
Update,Aggiornare
Update Attributes,Aggiorna attributi
Update Tier Price,Aggiorna fascia prezzo
Update assigned product,Aggiorna prodotto assegnato
Update attributes,Aggiorna attributi
Update category,Aggiorna categoria
Update product,Aggiorna prodotto
Update product image,Aggiorna immagine prodotto
Update product link,Aggiorna link prodotto
Update product tier prices,Aggionra livello prezzi prodotto
Upload new product image ,Carica una nuova immagine prodotto
Url Rewrite Management,Gestione URL Rewrite
Use Canonical Link Meta Tag For Categories,Per le categorie usa collegamento canonico a Meta Tag
Use Canonical Link Meta Tag For Products,Per i prodotti usa collegamento canonico a Meta Tag
Use Categories Path for Product URLs,Usa il percorso delle categorie per gli URL prodotto
Use Config Settings,Usa impostazioni di configurazione
Use Default Value,Usa valore predefinito
Use Flat Catalog Category,Usa catalogo categoria Flat
Use Flat Catalog Product,Usa catalogo prodotto Flat
Use In Layered Navigation,Usa nella navigazione a livelli
Use In Search Results Layered Navigation,Usa nei risultati di ricerca navigazione a livelli
Use JavaScript Calendar,Usa calendario JavaScript
Use Static URLs for Media Content in WYSIWYG for Catalog,Usa URL statici per i Media Content in WYSIWYG per il catalogo
Use To Create Configurable Product,Usa per creare prodotti configurabili
Use Tree Like Category Sitemap,Usa categorie sitemap stile ad albero
Use config,Usa config
Use default,Usa predefinito
Use for Promo Rule Conditions,Usa per le condizioni e regole promozionali
Use four-digit year format.,Usa il formato annoa  quattro cifre.
Use in Advanced Search,Usa nella ricerca avanzata
Use in Layered Navigation,Usa nella navigazione a livelli
Use in Layered Navigation<br/>(Can be used only with catalog input type 'Dropdown'),Usa nella navigazione a livelli<br/>(Può essere usata solo con ingresso tipo di catalogo 'Dropdown')
Use in Quick Search,Usa nella ricerca veloce
Used for Sorting in Product Listing,Usato per ordinare nel listino prodotti
Used in Product Listing,Usato nel listino prodotti
"Value for ""%s"" is invalid.","Il valore di ""%s"" non è valido."
"Value for ""%s"" is invalid: %s","Il valore di ""%s"" non è valido: %s"
Varchar,Varchar
View as,Vedi come
Virtual Product,Prodotto virtuale
Visibility,Visibilità
Visible,Visibile
Visible on Catalog Pages on Front-end,Visibile nelle pagine del catalogo nel Front-end
Visible on Product View Page on Front-end,Visibile sulla pagina prodotto sul Front-end
WYSIWYG Editor,Editor WYSIWYG 
Watermark,Watermark
Watermark Default Size,Dimensione predefinita Watermark
"Watermark Opacity, Percent","Opacità, percentuale Watermark"
Watermark Position,Posizione Watermark
We Also Recommend,Consigliamo anche
Website,Sito web
Websites,Siti web
"Whether to show ""All"" option in the ""Show X Per Page"" dropdown.","Se mostri ""Tutte"" le opzioni nel ""Mostra X per pagina"" dropdown."
Wrong BuyRequest instance in options group.,Istanza acquisto errata nelle opzioni gruppo.
Wrong configuration item instance in options group.,Istanza configurazione articolo errata nelle opzioni gruppo.
Wrong configuration item option instance in options group.,Istanza di configurazione opzioni articolo errata in opzioni gruppo.
Wrong option instance type in options group.,Istanza tipo opzione errata in opzioni gruppo.
Wrong option type to get group instance.,Tipo opzioni errata per ottenere istanza gruppo.
Wrong product instance type in options group.,Tipo istanza prodotto errata in opzioni gruppo.
Wrong product type filter specified,Tipo filtro prodotto specificato errato
Wrong product type to extract configurable options.,Tipo prodotto errato per estrarre opzioni configurabili.
Year Range,Intervallo anno
Yes,Si
You cannot email this product to a friend.,Non puoi inviare via email questo prodotto ad un amico.
You cannot remove system attribute from this set.,Non puoi rimuovere l'attributo di sistema da questo set di attributi.
You cannot send more than %d emails at a time.,Non puoi inviare più di %d per volta.
You have exceeded limit of %d sends in an hour.,Hai superato il limite di %d inviati in un ora.
You have no items to compare.,Non hai articoli da confrontare.
You have to specify at least one recipient.,Devi specificare almeno un destinatario.
You may also be interested in the following product(s),You may also be interested in the following product(s)
Zoom In,Ingrandisci
Zoom Out,Diminuisci
[GLOBAL],[GLOBALE]
and,e
categories,categorie
each,ognuno
ex. http://domain.com,es. http://domain.com
leave blank if its not an image,lasciare bianco se non è un immagine
per page,per pagina
products,prodotti
px.,px.
save,salva
select all,seleziona tutto
unselect all,deseleziona tutto
x,x
Display Settings,Mostra Impostazioni
"<strong style=""""color:red"""">Warning!</strong> Applying MAP by default will hide all product prices on the frontend.","<strong style=""""color:red"""">Attenzione!</strong> Applicando MAP di default nasconderai tutti i prezzi dei prodotti sul frontend."
Actual Price,Prezzo attuale
Apply MAP (Default Value),Applica MAP (Valore di default)
Before Order Confirmation,Prima della conferma dell\'ordine
Buy %1$s,Compra %1$s
Buy %1$s for,Compra %1$s per
Category move operation is not possible: parent category is equal to child category.,L\'operazione di spostamento categoria non possibile: la categoria genitore è uguale alla categoria figlio
Category move operation is not possible: the current category was not found.,L\'operazione di spostamento categoria non possibile: la categoria corrente non è stata trovata
Click for price,Premi per il prezzo
"Default """"What's This"""" Text Message","Messaggio di testo """"Cos'è questo"""" di default"
Default Popup Text Message,Messaggio di testo Popup di default
Display Actual Price,Mostra prezzo attuale
Enable MAP,Abilita MAP
In Cart,Nel carrello
Minimum Advertised Price,Prezzo minimo pubblicizzato
On Gesture,On Gesture
"Scope must not be changed, because the attribute is used in configurable products.","L\'ambito non deve essere cambiato, perché l\'attributo è utilizzato nei prodotti configurabili."
See price before order confirmation.,Vedi il prezzo prima della conferma dell\'ordine.
The model collection resource name is not defined.,Il nome della collezione modello risorsa non è definito.
This attribute is used in configurable products.,Questo attributo è utilizzato nei prodotti configurabili.
"To see product price, add this item to your cart. You can always remove it later.","Per vedere il prezzo del prodotto, aggiungi questo articolo al tuo carrello. Puoi sempre rimuoverlo in seguito."
What's this?,Cos'è questo?
